mA,V,time
502.40000000000003,4.816,1585348727.7299519
450.5,4.816,1585348727.7971966
450.5,4.816,1585348727.86436
450.70000000000005,4.816,1585348727.9314108
450.90000000000003,4.816,1585348727.998204
450.3,4.816,1585348728.0655198
450.3,4.816,1585348728.1325927
450.90000000000003,4.816,1585348728.199862
451.20000000000005,4.816,1585348728.2667289
450.40000000000003,4.816,1585348728.3339038
450.5,4.816,1585348728.4010663
450.5,4.816,1585348728.4678135
450.5,4.816,1585348728.535004
450.6,4.816,1585348728.6021683
450.5,4.816,1585348728.6694324
451.1,4.816,1585348728.73621
450.5,4.816,1585348728.8034256
450.5,4.816,1585348728.87064
450.6,4.816,1585348728.9378047
450.40000000000003,4.816,1585348729.0045803
450.6,4.816,1585348729.0717702
450.6,4.816,1585348729.139035
451.20000000000005,4.816,1585348729.2058048
450.8,4.816,1585348729.2729557
450.8,4.816,1585348729.3400686
451.1,4.816,1585348729.4073172
450.90000000000003,4.816,1585348729.474034
450.90000000000003,4.816,1585348729.5412202
451.3,4.816,1585348729.6084707
451.0,4.816,1585348729.6746407
451.0,4.816,1585348729.7425864
451.1,4.816,1585348729.8097868
450.90000000000003,4.816,1585348729.8758342
450.90000000000003,4.816,1585348729.9435604
450.90000000000003,4.816,1585348730.010756
450.6,4.816,1585348730.078
451.0,4.816,1585348730.1440828
450.8,4.816,1585348730.2119293
451.3,4.816,1585348730.2792008
451.3,4.816,1585348730.3452792
459.40000000000003,4.816,1585348730.4124784
511.8,4.816,1585348730.4803843
457.6,4.816,1585348730.5464392
450.5,4.816,1585348730.613724
450.6,4.816,1585348730.680497
450.40000000000003,4.816,1585348730.7478004
451.20000000000005,4.816,1585348730.81507
450.6,4.816,1585348730.8823018
450.5,4.816,1585348730.9490442
450.5,4.816,1585348731.0164196
450.5,4.816,1585348731.0836155
450.5,4.816,1585348731.150788
450.90000000000003,4.816,1585348731.217629
451.20000000000005,4.816,1585348731.2848535
450.5,4.816,1585348731.3519785
450.6,4.816,1585348731.4187536
450.5,4.816,1585348731.4861062
450.6,4.816,1585348731.5533075
450.6,4.816,1585348731.6193862
450.6,4.816,1585348731.687347
450.40000000000003,4.816,1585348731.7545357
450.5,4.816,1585348731.8205357
450.70000000000005,4.816,1585348731.8877923
450.6,4.816,1585348731.9557283
450.8,4.816,1585348732.021711
450.8,4.816,1585348732.088972
450.70000000000005,4.816,1585348732.156894
451.1,4.816,1585348732.2229476
451.40000000000003,4.816,1585348732.2901173
451.0,4.816,1585348732.357354
450.8,4.816,1585348732.4250958
450.6,4.816,1585348732.4911602
450.70000000000005,4.816,1585348732.5583158
450.8,4.816,1585348732.6256146
450.6,4.816,1585348732.6923766
450.6,4.816,1585348732.759577
450.6,4.816,1585348732.826794
450.70000000000005,4.816,1585348732.8935046
450.90000000000003,4.816,1585348732.960597
450.5,4.816,1585348733.0278962
450.5,4.816,1585348733.0951567
450.6,4.816,1585348733.1617877
503.8,4.816,1585348733.2290988
475.40000000000003,4.816,1585348733.2963355
450.8,4.816,1585348733.3633814
450.5,4.816,1585348733.4300714
450.70000000000005,4.816,1585348733.497314
451.3,4.816,1585348733.5648768
451.20000000000005,4.816,1585348733.6316342
451.0,4.816,1585348733.698899
450.90000000000003,4.816,1585348733.7661593
450.6,4.816,1585348733.8333323
450.70000000000005,4.816,1585348733.9000304
450.90000000000003,4.816,1585348733.9673235
450.5,4.816,1585348734.034495
450.6,4.816,1585348734.1004705
450.70000000000005,4.816,1585348734.1684349
450.6,4.816,1585348734.2356503
451.20000000000005,4.816,1585348734.3016195
450.90000000000003,4.816,1585348734.3694487
450.6,4.816,1585348734.4367626
450.8,4.816,1585348734.5038736
450.8,4.816,1585348734.5709722
450.6,4.816,1585348734.6377227
450.6,4.816,1585348734.7050047
450.70000000000005,4.816,1585348734.7720816
450.6,4.816,1585348734.8381238
450.90000000000003,4.816,1585348734.9061441
451.0,4.816,1585348734.9731941
450.8,4.816,1585348735.0403042
450.6,4.816,1585348735.1070697
450.70000000000005,4.816,1585348735.1742165
450.5,4.816,1585348735.2413666
450.8,4.816,1585348735.3085768
450.6,4.816,1585348735.3752916
450.8,4.816,1585348735.4425068
450.70000000000005,4.816,1585348735.5097337
450.70000000000005,4.816,1585348735.5757911
451.20000000000005,4.816,1585348735.6437683
451.1,4.816,1585348735.7098343
451.3,4.816,1585348735.777097
451.20000000000005,4.816,1585348735.844957
451.0,4.816,1585348735.9109914
486.5,4.816,1585348735.9782953
492.5,4.816,1585348736.0456126
451.1,4.816,1585348736.1122499
450.70000000000005,4.816,1585348736.1794572
450.70000000000005,4.816,1585348736.246744
452.1,4.816,1585348736.313876
450.20000000000005,4.816,1585348736.3805776
450.90000000000003,4.816,1585348736.4478662
450.40000000000003,4.816,1585348736.5152063
452.70000000000005,4.816,1585348736.5819037
451.0,4.816,1585348736.6491582
450.3,4.816,1585348736.716375
450.1,4.816,1585348736.7835286
450.40000000000003,4.816,1585348736.8502548
450.90000000000003,4.816,1585348736.917529
450.1,4.816,1585348736.9846473
450.40000000000003,4.816,1585348737.0518582
450.40000000000003,4.816,1585348737.1186724
450.3,4.816,1585348737.1859214
451.1,4.816,1585348737.2531295
453.0,4.816,1585348737.3198473
454.3,4.816,1585348737.3871522
452.90000000000003,4.816,1585348737.4543834
450.40000000000003,4.816,1585348737.520396
452.0,4.816,1585348737.5884607
450.1,4.816,1585348737.6546097
450.3,4.816,1585348737.7217665
450.1,4.816,1585348737.7889369
450.90000000000003,4.816,1585348737.855826
450.40000000000003,4.816,1585348737.9230528
450.8,4.816,1585348737.9902253
450.90000000000003,4.816,1585348738.0570967
450.70000000000005,4.816,1585348738.1243355
450.8,4.816,1585348738.1914215
450.90000000000003,4.816,1585348738.2586257
451.40000000000003,4.816,1585348738.3253603
450.90000000000003,4.816,1585348738.3925571
450.70000000000005,4.816,1585348738.4597275
451.40000000000003,4.816,1585348738.5273182
451.5,4.816,1585348738.5941188
451.0,4.816,1585348738.6613288
469.20000000000005,4.816,1585348738.7274275
510.8,4.816,1585348738.7952886
451.0,4.816,1585348738.862507
450.8,4.816,1585348738.9286013
451.1,4.816,1585348738.9958334
450.8,4.816,1585348739.063727
451.1,4.816,1585348739.1298568
451.0,4.816,1585348739.1970844
451.0,4.816,1585348739.2642303
451.40000000000003,4.816,1585348739.3309758
451.0,4.816,1585348739.3980858
450.90000000000003,4.816,1585348739.4653282
450.90000000000003,4.816,1585348739.533177
451.0,4.816,1585348739.60031
450.8,4.816,1585348739.6664422
450.8,4.816,1585348739.7336843
452.1,4.816,1585348739.8003988
451.1,4.816,1585348739.867683
451.40000000000003,4.816,1585348739.9349184
